conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",label
3.76,-1.11,-3.46,1.16,0.3,0.05,False
3.91,-0.34,-1.37,-0.77,2.54,-1.13,False
5.11,0.58,-0.93,2.58,4.17,3.15,False
3.38,-1.02,0.0,0.0,3.38,-1.02,False
4.62,5.07,0.0,0.0,4.62,5.07,False
4.13,6.7,-0.6,-3.39,3.55,3.31,False
0.64,2.08,0.01,-0.94,0.65,1.15,False
1.62,4.18,0.09,-0.22,1.7,3.96,False
2.0,4.59,-0.1,-0.49,1.9,4.1,False
9.6,6.26,-1.07,-3.18,8.54,3.08,False
1.92,4.59,-0.17,-0.4,1.75,4.2,False
6.35,4.65,-5.52,-3.06,0.84,1.58,False
3.66,-24.13,-2.45,3.18,1.24,-20.91,False
5.75,-3.29,0.25,2.73,5.99,-0.58,False
9.22,2.13,-1.34,-1.21,7.87,0.92,False
6.5,-0.81,-5.04,1.07,1.46,0.25,False
7.6,-2.16,-5.97,2.45,1.64,0.29,False
6.22,-2.96,-2.44,-0.27,3.78,-3.21,False
6.4,-2.24,-4.44,2.75,1.95,0.5,False
5.18,0.37,-2.58,-0.38,2.6,-0.02,False
8.83,5.51,-0.92,-2.09,7.92,3.42,False
1.55,2.19,-1.11,-1.3,0.44,0.89,False
10.24,-1.35,-3.01,-1.04,7.21,-2.35,False
10.24,-1.35,-3.01,-1.04,7.21,-2.35,False
5.47,-2.12,-3.86,2.28,1.61,0.18,False
9.46,5.99,-1.46,-3.21,8.02,2.78,False
7.12,-1.91,-3.51,2.11,3.64,0.23,False
1.94,4.59,-0.03,0.22,1.91,4.82,False
1.96,4.59,-0.04,0.24,1.91,4.83,False
11.37,-0.67,-2.13,-1.15,9.25,-1.82,False
12.37,-0.6,-3.83,1.84,8.55,1.26,False
12.37,-0.6,-3.83,1.84,8.55,1.26,False
8.98,-2.81,-1.91,-0.26,7.07,-3.08,False
5.26,3.74,0.0,0.0,5.26,3.74,False
8.4,-5.47,-2.19,-0.26,6.2,-5.73,False
