dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
3.26,-2.26,8.7,-2.48,False
8.21,-2.78,11.28,-4.0,False
3.26,-2.26,8.57,-2.5,False
0.1,-3.06,8.52,-4.44,False
0.09,-5.55,6.32,4.73,False
2.18,-5.08,6.26,2.16,False
3.26,-2.26,8.57,-2.5,False
3.26,-2.2,11.06,-1.58,False
2.46,-2.07,6.14,-6.22,False
0.09,-3.8,5.31,1.53,False
1.36,-5.33,7.19,4.07,False
0.57,-3.86,5.17,1.14,False
3.26,-2.26,8.57,-2.5,False
0.1,-3.21,11.69,3.5,False
1.2,-4.16,4.03,-0.47,False
6.51,-1.7,3.35,-2.89,False
3.06,-2.57,10.5,0.76,False
0.09,-5.66,6.45,4.59,False
3.26,-2.2,11.06,-1.58,False
0.09,-4.07,8.51,-4.43,False
0.09,-3.78,5.2,1.79,False
2.82,-2.31,3.84,-4.64,False
2.66,-2.07,6.01,-6.37,False
3.26,-2.24,9.91,0.63,False
0.47,-3.72,12.67,5.28,False
1.36,-5.33,7.19,4.07,False
3.06,-2.12,10.93,-1.63,False
0.1,-4.25,5.1,3.13,False
3.16,-1.53,7.99,-4.39,False
3.46,-2.91,10.05,0.38,False
3.26,-2.24,10.11,0.73,False
0.1,-3.2,12.41,4.34,False
3.26,-2.92,10.42,0.45,False
2.9,1.07,1.55,0.75,False
2.46,-2.07,6.14,-6.22,False
2.16,-1.53,8.01,-4.37,False
3.46,-2.91,10.05,0.38,False
3.46,-2.26,8.74,-2.47,False
0.1,-2.64,5.27,0.58,False
8.13,-0.1,3.85,-1.14,False
9.24,0.68,2.05,0.94,False
5.32,-0.5,5.18,6.92,False
4.73,-1.63,9.79,0.08,False
2.42,-5.26,7.06,4.69,False
2.82,-2.32,3.86,-4.98,False
1.39,-4.24,4.13,-0.06,False
0.09,-3.2,11.68,3.48,False
16.73,-4.01,15.26,-4.38,False
2.72,0.28,1.54,1.26,False
3.26,-2.63,1.51,-7.37,False
9.87,0.0,2.63,0.43,False
8.91,-2.48,8.07,-2.3,False
9.15,0.0,5.25,3.68,False
0.09,-2.82,10.52,0.21,False
4.34,-0.73,7.81,6.36,False
0.98,-4.29,6.44,-2.02,False
6.15,-2.79,9.74,-0.65,False
0.09,-2.66,4.88,-0.98,False
0.09,-2.89,9.86,-4.8,False
9.37,0.0,5.6,3.1,False
3.93,-2.38,0.26,-2.73,False
4.54,-1.63,9.81,0.22,False
4.34,-0.54,4.56,6.85,False
0.09,-2.72,4.98,0.17,False
4.44,-2.19,11.03,-1.56,False
2.65,-3.07,6.86,-5.54,False
0.1,-3.2,12.41,4.34,False
4.64,-2.25,8.4,-2.5,False
0.1,-3.85,5.51,-2.26,False
1.38,-4.99,6.48,-0.85,False
7.51,1.1,2.63,0.85,False
0.1,-3.94,5.56,-2.12,False
8.61,-0.43,1.28,2.33,False
