dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
0.09,-4.07,8.51,-4.43,True
0.09,-4.07,8.51,-4.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
0.09,-4.07,8.51,-4.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
3.65,-1.95,4.34,-1.43,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
1.04,-5.34,7.21,3.86,True
2.82,-2.32,3.86,-4.98,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
6.86,-3.93,8.79,-5.04,True
1.61,-3.96,11.69,-1.14,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
6.22,-2.96,13.25,0.27,True
6.82,-2.96,13.43,0.27,True
0.08,-1.81,4.11,-0.86,True
